skill	Id	charclass	skilldesc	*status/note	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Baal Teleport	329					98																																																																																						48	73						baalteleport											1	0		none												SQ	SQ	S1				1																						1																								1																																		1								8																																					0
Imp Teleport	330					129																	attached																																																							sorceress_teleport														48	74					imp teleport	imp teleport											1	0		none												SQ	SQ	S1				1																						1																								1																																		1								8																																					0
Baal Clone Teleport	331					98																																																																																						48	73					baalclonedeath	baalteleport											1	0		none												SQ	SQ	S1				1																						1																								1																																		1								8																																					0
ZakarumLightning	332														monsterlight																																																															sorceress_cast_lightning											light_cast_1								monsterlight													1	0		none												SQ	SQ	S1																										1																								1																																		1								8																																					0
VampireMissile	333														firehead																																																																																		firehead													1	0		none												SC	SC	SC																										1																								1																																		1								8																																					0
MephistoMissile	334														mephisto																																																																																		mephisto													1	0		none												SC	SC	A2																										1																								1																																		1								8																																					0
DoomKnightMissile	335					148												undeadmissile1																																																																											94					undeadmissile1												1	0		none												SC	SC	S1																										1																								1																																		1								8																																					0
RogueMissile	336					110												rogue1																																																																											66					rogue1												1	0		none												A1	A1	A1																										1																								1																																		1								8																																					0
HydraMissile	337					28												hydracenter	hydracenter	hydracenter																																																																									28					hydracenter												1	0		none												SC	SC	SC					4				1																	1																								1										9	radius	20	frequency																					1								8																																					0
NecromageMissile	338					149												necromage1																																																																											95					necromage1												1	0		none												SC	SC	A1																										1																								1																																		1								8																																					0
MonBow	339				4										cr_arrow6																																																																													11					cr_arrow6													1	0		rng												A1	A1	A1				1																						1																								1																																		1								8	128																																				0
MonFireArrow	340				4										firearrow																																																																													11					firearrow													1	0		rng												A1	A1	A1				1																						1																								1																																		1	10	10						8	128														fire	1	8	8	8	8	8	4	9	9	9	9	9										0
MonColdArrow	341				4										coldarrow																																																																													11					coldarrow													1	4		rng												A1	A1	A1				1																						1																								1																																		1	10	10						8	128														cold	1	7	7	7	7	7	4	8	8	8	8	8		100	25	25	25					0
MonExplodingArrow	342				4										explodingarrow																																																																													11					explodingarrow													1	5		rng												A1	A1	A1				1																						1																								1																																		1	10	10						8	128														fire	2	8	8	8	8	8	6	9	9	9	9	9										0
MonFreezingArrow	343				4										freezingarrow																																																																													11					freezingarrow													1	7		rng												A1	A1	A1				1																						1																								1										par1	damage radius							5	Radius of impact															1	10	10						8	128														cold	2	7	7	7	7	7	6	8	8	8	8	8		100	25	25	25					0
MonPowerStrike	344				6	2																																																																																																								1	4		h2h												A1	A1	A1				1		1	1								1											1																								1																																		1	20	15						8	128														ltng	1	0	0	0	0	0	16	12	12	12	12	12										0
SuccubusBolt	345				4										succubusmiss																																																																													11					succubusmiss													1	0		rng												SC	SC	S2				1																						1																								1																																		1								8															mag	10	2	4	6	6	6	15	2	5	7	7	7										0
MephFrostNova	346					22												mephfrostnova	mephfrostnova	mephfrostnova																																																										sorceress_cast_cold															25					frostnova												1	6		none												SC	SC	A2																	1									1																								1																		9	radius of freeze	3	additional radius/level													1								8															cold	40	20	20	20	20	20	60	20	20	20	20	20		200	50	50	50					0
MonIceSpear	347				6	2																																																																																																								1	4		h2h												A1	A1	A1				1		1	1								1											1																								1																																		1	20	15						8	128														cold	10	8	8	8	8	8	14	9	9	9	9	9		125	25	25	25					0
ShamanIce	348														glacialspike										ln34 * (100 + skill('Blizzard'.blvl) * par7) / 100	ln12																																																				sorceress_cast_cold																			glacialspike													1	7		none												SC	SC	xx																	1									1																								1																		4	radius	0	radius per level	50	freeze frames	3	freeze frames per level									1								8															cold	4	10	14	14	14	14	12	10	15	15	15	15		125	50	50	50					0
Diablogeddon	349					124												diablogeddoncontrol	diablogeddoncontrol	diablogeddoncontrol			armageddon		ln12	par3																																																				druid_firecast_a																92				diablogeddontail	diablogeddonrock			25	frames	25	fall rate	15	slide rate			1	0		none												SC	SC	S3				1																						1																								1																		1000	base duration	50	duration per level	8	radius to drop meteors	8	frame delay between rocks									1								8		4	4	6	8	10	12	16	4	7	9	12	14		fire	25	15	20	25	30	35	75	16	22	27	33	38										0
Delerium Change	350		delerium change			116																	delerium		1500		velocitypercent	33	attackrate	33	other_animrate	33																																																												45																		1	0		none												SC	SC	NU				1													1									1																																																										1								8																																					0
NihlathakCorpseExplosion	351				17	55																				6																																																			1	necromancer_corpse_cast								necromancer_corpseexp_1						21	32					corpseexplosion	explodingarrowexp	redlightmissile										1	0		none												SC	SC	xx								1		1	1						1									1																								1										par1	% target hp min damage	par2	% target hp max damage	par5	% damage to do as elemental			6	% of base monster HP min damage	12	% of base monster HP max damage					50	% damage to do as elemental							1								8															fire																						0
SerpentCharge	352				31	67																																																																																						25	37																	1	2		none												SQ	A1	xx	4					1	1								1											1																																										150	percent increase in velocity			100	plus % damage	25	plus % dam per level									1	50	10						8	128																																				0
Trap Nova	353					22												trapnova	trapnova	trapnova																																																										sorceress_cast_lightning											light_cast_1				25					trapnova												1	2		none												SC	SC	xx																							sorceress_cast_lightning			1																																										12	number of missiles	4	additional missiles per level													1								8																																					0
UnHolyBoltEx	354														unholybolt1																																																																																		unholybolt1													1	0		none												SQ	SQ	xx																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
ShamanFireEx	355														shafire1																																																																																		shafire1													1	0		none												SQ	SQ	xx																										1																								1																		0	?	0	?	0	?	0	?	0	?	0	?					1								8																																					0
Imp Fire Missile Ex	356														impmiss21																																																															sorceress_cast_fire											fist_will_cast								impmiss21													1	0		none												A1	A1	A1																										1																								1										lvl-1	range adder								?		?		?		?		?		?					1								8																																					0
